lakeid,year,ice_on,ice_off,duration
ME,1904,1903-12-13,1904-04-17,126
ME,1905,1904-12-14,1905-04-01,108
ME,1906,1906-01-01,1906-04-08,97
ME,1907,1906-12-20,1907-03-24,94
ME,1908,1908-01-01,1908-03-24,83
ME,1909,1908-12-22,1909-04-07,106
ME,1910,1909-12-18,1910-03-26,98
ME,1911,1910-12-09,1911-03-20,101
ME,1912,1911-12-28,1912-04-14,108
ME,1913,1912-12-24,1913-04-02,99
ME,1914,1914-01-12,1914-04-10,88
ME,1915,1914-12-16,1915-04-10,115
ME,1916,1915-12-28,1916-04-08,102
ME,1917,1916-12-16,1917-04-11,116
ME,1918,1917-12-11,1918-04-05,115
ME,1919,1919-01-03,1919-03-26,82
ME,1920,1919-12-09,1920-03-28,110
ME,1921,1920-12-25,1921-03-16,81
ME,1922,1921-12-25,1922-03-31,96
ME,1923,1922-12-16,1923-04-20,125
ME,1924,1924-01-01,1924-04-14,104
ME,1925,1924-12-19,1925-04-03,105
ME,1926,1925-12-16,1926-04-19,124
ME,1927,1926-12-06,1927-03-19,103
ME,1928,1927-12-17,1928-04-01,106
ME,1929,1928-12-21,1929-03-27,96
ME,1930,1929-12-03,1930-03-20,107
ME,1931,1930-12-16,1931-03-24,98
ME,1932,1932-01-30,1932-04-04,65
ME,1933,1932-12-10,1933-04-04,115
ME,1934,1933-12-25,1934-03-26,91
ME,1935,1934-12-24,1935-03-28,94
ME,1936,1935-12-20,1936-03-30,101
ME,1937,1936-12-07,1937-04-13,121
ME,1938,1937-12-07,1938-03-22,105
ME,1939,1938-12-28,1939-04-04,97
ME,1940,1940-01-02,1940-04-16,105
ME,1941,1941-01-05,1941-04-11,96
ME,1942,1942-01-03,1942-03-26,82
ME,1943,1942-12-07,1943-04-02,116
ME,1944,1943-12-16,1944-04-08,114
ME,1945,1944-12-18,1945-03-20,92
ME,1946,1945-12-13,1946-03-21,98
ME,1947,1946-12-30,1947-04-10,101
ME,1948,1947-12-21,1948-04-03,104
ME,1949,1948-12-24,1949-03-30,96
ME,1950,1949-12-23,1950-04-11,109
ME,1951,1950-12-11,1951-04-12,122
ME,1952,1951-12-16,1952-04-08,114
ME,1953,1952-12-30,1953-03-21,81
ME,1954,1953-12-30,1954-03-25,85
ME,1955,1955-01-02,1955-04-04,92
ME,1956,1955-12-12,1956-04-04,114
ME,1957,1956-12-14,1957-04-04,111
ME,1958,1957-12-30,1958-04-04,95
ME,1959,1958-12-09,1959-04-14,126
ME,1960,1959-12-29,1960-04-12,105
ME,1961,1960-12-19,1961-04-06,108
ME,1962,1961-12-16,1962-04-12,117
ME,1963,1962-12-12,1963-04-03,112
ME,1964,1963-12-20,1964-04-11,113
ME,1965,1964-12-15,1965-04-14,120
ME,1966,1966-01-11,1966-03-17,65
ME,1967,1966-12-26,1967-04-03,98
ME,1968,1967-12-27,1968-03-27,91
